209,-0.0078125,0.0,-0.03125
210,-0.0078125,-0.023438,-0.015625
211,0.0,-0.023438,-0.0078125
212,-0.023438,0.0,-0.023438
213,0.015625,0.03125,0.0078125
214,-0.015625,-0.03125,-0.03125
215,0.0,-0.015625,-0.023438
216,-0.0078125,0.0,-0.0078125
217,-0.0078125,-0.023438,-0.023438
218,-0.023438,-0.0078125,-0.0078125
219,-0.03125,-0.03125,-0.0078125
220,0.0,0.0,0.0
221,-0.015625,-0.015625,-0.0078125
222,0.0,0.015625,0.0078125
223,-0.039063,-0.0078125,0.0
224,-0.0078125,0.015625,0.0078125
225,-0.03125,-0.03125,-0.0078125
226,0.0,0.0,0.0
227,0.015625,-0.015625,-0.03125
228,0.0078125,0.0078125,-0.0078125
229,-0.0078125,0.0,0.015625
230,-0.023438,-0.015625,-0.0078125
231,-0.015625,0.015625,0.0078125
232,-0.0078125,-0.03125,-0.023438
233,0.0078125,0.0078125,-0.015625
234,0.0,-0.039063,-0.0078125
235,-0.0078125,0.0078125,0.0078125
236,-0.0078125,0.0078125,0.0078125
237,0.0078125,0.023438,0.023438
238,-0.03125,-0.023438,-0.015625
239,-0.015625,-0.054688,-0.046875
240,0.0,0.015625,0.0
241,-0.023438,-0.023438,0.0078125
242,0.0,0.0078125,-0.015625
243,-0.0078125,0.015625,0.0078125
244,-0.023438,-0.023438,-0.046875
245,-0.015625,0.0078125,-0.015625
246,0.0078125,0.0,0.023438
247,0.0078125,0.023438,-0.0078125
248,-0.0078125,-0.03125,-0.0625
249,-0.03125,-0.03125,-0.046875
250,0.0,-0.03125,-0.0078125
251,-0.023438,-0.015625,0.0
252,-0.0078125,-0.0078125,0.0
253,-0.015625,-0.023438,-0.023438
254,-0.015625,0.0,-0.015625
255,0.0,0.015625,0.0078125
256,-0.015625,-0.015625,0.0
257,0.0,0.0078125,-0.015625
258,-0.023438,-0.039063,-0.023438
259,0.0,-0.039063,-0.015625
260,-0.0078125,-0.023438,0.0078125
261,0.015625,0.0,0.0078125
262,-0.0078125,-0.0078125,0.0078125
263,-0.023438,-0.039063,-0.046875
264,-0.0078125,-0.0078125,0.0
265,-0.0078125,0.0078125,-0.0078125
266,0.0,0.03125,0.0078125
267,-0.015625,-0.015625,-0.015625
268,0.0,-0.039063,-0.023438
269,-0.023438,-0.015625,-0.023438
270,-0.015625,-0.023438,-0.015625
271,0.0078125,0.0,-0.0078125
272,-0.015625,0.0,-0.0078125
273,-0.015625,-0.015625,-0.015625
274,-0.023438,0.015625,-0.0078125
275,-0.015625,-0.03125,0.0078125
276,0.0,0.0,-0.015625
277,-0.015625,-0.046875,-0.015625
278,-0.015625,-0.023438,-0.054688
279,0.0078125,0.023438,0.023438
280,-0.0078125,-0.015625,-0.03125
281,-0.0078125,-0.023438,-0.023438
282,0.0078125,0.0,-0.0078125
283,-0.015625,-0.0078125,-0.015625
284,-0.015625,-0.0078125,0.0
285,-0.015625,0.03125,-0.015625
286,-0.023438,-0.03125,-0.03125
287,-0.0078125,0.0,-0.015625
288,-0.023438,-0.0078125,-0.015625
289,0.0,-0.0078125,-0.0078125
290,0.0078125,0.023438,0.039063
291,-0.023438,-0.023438,-0.023438
292,0.0078125,-0.0078125,0.0078125
293,-0.0078125,-0.0078125,0.0078125
294,-0.015625,-0.023438,-0.03125
295,0.0078125,-0.0078125,0.0078125
296,-0.03125,-0.023438,-0.03125
297,-0.015625,-0.015625,0.0
298,0.0078125,-0.0078125,-0.0078125
299,-0.0078125,-0.015625,0.0
300,0.0078125,0.03125,0.054688
301,-0.023438,-0.078125,-0.039063
302,-0.015625,-0.015625,-0.0078125
303,-0.0078125,-0.023438,0.0
304,-0.0078125,0.0,-0.0078125
305,0.0,0.0,-0.023438
306,-0.015625,-0.015625,-0.0078125
307,-0.023438,-0.015625,-0.023438
308,-0.0078125,0.0,-0.015625
309,0.0078125,0.0078125,0.0
310,-0.023438,-0.03125,-0.039063
311,-0.0078125,-0.023438,-0.0078125
312,0.0,-0.015625,-0.03125
313,0.0078125,0.0078125,-0.0078125
314,-0.015625,-0.023438,0.0
315,-0.023438,0.0,-0.0078125
316,-0.015625,-0.0078125,-0.023438
317,-0.015625,-0.03125,-0.015625
318,-0.0078125,0.015625,-0.015625
319,0.0,0.046875,0.0
320,-0.03125,-0.0625,-0.054688
321,0.0,-0.023438,0.0078125
322,-0.023438,-0.046875,-0.039063
323,0.0,0.0,-0.015625
324,0.0,0.0078125,-0.0078125
325,0.0,-0.0078125,0.0
326,-0.0078125,-0.023438,-0.0078125
327,-0.015625,-0.015625,-0.023438
328,0.0,-0.0078125,-0.0078125
329,-0.015625,0.0,-0.015625
330,0.0,0.015625,0.015625
331,0.0078125,0.023438,-0.0078125
332,-0.015625,-0.015625,0.015625
333,-0.0078125,0.0078125,0.0078125
334,0.0,-0.0078125,-0.0078125
335,-0.015625,-0.023438,0.0078125
336,0.0,0.0,0.015625
337,-0.0078125,-0.03125,-0.03125
338,-0.0078125,-0.0078125,0.0078125
339,0.0078125,0.0078125,0.0
340,-0.015625,0.0078125,0.0078125
